x,y,z,010-000-024-033,010-000-030-096,020-000-032-221,020-000-033-111,anomaly
18.495859699336677,13.76652678776089,14.362623811764362,0.0,0.0,0.0,1.0,0.0
18.501072036621377,13.827225151119427,14.270267567797987,0.0,0.0,1.0,0.0,0.0
18.405949799991035,13.868976066998284,14.094803990614267,1.0,0.0,0.0,0.0,0.0
18.44457156638717,13.910701090731276,14.116078369180716,0.0,1.0,0.0,0.0,0.0
18.41847018407317,13.933916893862424,14.320566179943336,0.0,0.0,0.0,1.0,0.0
18.35926267927319,13.97304479066458,14.140170550483242,1.0,0.0,0.0,0.0,0.0
18.32057436388417,14.057876973807579,14.276627257611382,0.0,0.0,0.0,1.0,0.0
18.38510720582519,14.109590916487216,14.395639826170667,0.0,0.0,1.0,0.0,0.0
18.342120601066874,14.091387167789396,14.215412155727389,1.0,0.0,0.0,0.0,0.0
18.424643770689286,14.128410042368833,14.240368813922142,0.0,1.0,0.0,0.0,0.0
18.38668716064307,14.166432273731644,14.436579871784089,0.0,0.0,0.0,1.0,0.0
18.418835161099928,14.121312515668349,14.339596848495267,0.0,0.0,1.0,0.0,0.0
18.309685222377592,14.14787554827716,14.155071253230991,1.0,0.0,0.0,0.0,0.0
18.376512128191706,14.177610199424251,14.416923063245772,0.0,0.0,0.0,1.0,0.0
18.3745625262423,14.176707822735384,14.430254878971752,0.0,0.0,1.0,0.0,0.0
18.412141399868386,14.13338542909024,14.534937383321237,1.0,0.0,0.0,0.0,0.0
18.408075072934814,14.137333534918522,14.520625376433719,0.0,1.0,0.0,0.0,0.0
18.391484942735264,14.159747204912454,14.518623043147677,0.0,0.0,0.0,1.0,0.0
18.376258566521454,14.16886816740695,14.536481726067432,0.0,0.0,1.0,0.0,0.0
18.373064548441967,14.169238631367957,14.548277761331859,1.0,0.0,0.0,0.0,0.0
18.33928159434416,14.230180553306692,14.636849136945687,0.0,0.0,0.0,1.0,0.0
18.41946262303283,14.204144661389345,14.764336850913582,0.0,0.0,1.0,0.0,0.0
18.308940924430875,14.277135544205995,14.680525206308033,1.0,0.0,0.0,0.0,0.0
18.296510690049626,14.28989316788242,14.458306096005298,0.0,1.0,0.0,0.0,0.0
